name,track_number,album.release_date,id,album.name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration,explicit,key_name,mode_name,key_mode
One,4,1988-08-25,02xhLoVqpGmOqvolgrwM8w,…And Justice for All ,44,0.439,0.691,7,-9.158,1,0.0608,6.66e-4,0.0777,0.423,0.433,103.281,446,FALSE,G,major,G major
The Judas Kiss,8,2008-01-01,09VNOLsjKwQasQXhsS8sRA,Death Magnetic,43,0.323,0.96,4,-2.712,0,0.0816,8.06e-4,0.0177,0.039,0.503,179.341,481,FALSE,E,minor,E minor
Bad Seed,8,1997-01-01,0cKWKhciVCYNyxFVnV1Y4R,Reload,39,0.532,0.952,6,-4.191,1,0.0424,2.44e-5,0.0111,0.332,0.727,126.917,245,FALSE,F#,major,F# major
Halo On Fire,6,2016-11-18,0dcFoXAFWxx7oSIIq2mtkW,Hardwired…To Self-Destruct,45,0.323,0.936,4,-3.514,0,0.0504,1.43e-5,0.00437,0.0983,0.21,126.367,495,FALSE,E,minor,E minor
To Live is to Die,8,1988-08-25,0MNwV4sXm2AljohIXBRgpj,…And Justice for All ,40,0.432,0.624,7,-8.969,1,0.04,2.04e-4,0.825,0.0735,0.376,103.483,588,FALSE,G,major,G major
Nothing Else Matters,8,1991-08-12,0nLiqZ6A27jJri2VCalIUs,Metallica,78,0.553,0.362,4,-11.218,0,0.0263,0.0458,6.01e-6,0.075,0.158,142.352,388,FALSE,E,minor,E minor
Sweet Amber,8,2003-01-01,0nP2Se8dSKsdOkg6XEee60,St. Anger,38,0.471,0.911,7,-5.373,0,0.0664,0.00129,7.64e-5,0.216,0.394,93.262,327,FALSE,G,minor,G minor
The Unforgiven III,7,2008-01-01,0qbV4e18lWrTTxlswVoLbI,Death Magnetic,57,0.297,0.692,4,-5.625,0,0.0344,0.00196,3.75e-6,0.115,0.103,121.52,467,FALSE,E,minor,E minor
My Friend Of Misery,11,1991-08-12,0R9GrbRcpBRdwDlVPj2wEQ,Metallica,53,0.582,0.819,9,-8.092,0,0.0345,2.83e-4,0.0167,0.0996,0.394,119.513,408,FALSE,A,minor,A minor
Hero Of The Day,6,1996-01-01,0rDPQzWWmLTv9deHn4ulG7,Load,52,0.35,0.902,8,-7.125,1,0.0357,8.82e-5,0.0425,0.111,0.78,115.909,262,FALSE,G#,major,G# major
2 X 4,2,1996-01-01,0SwHR5lvAfgI8Z2D6YgvMd,Load,43,0.512,0.907,1,-4.432,0,0.0345,4.57e-6,0.00857,0.549,0.673,115.217,328,FALSE,C#,minor,C# minor
"Die, Die My Darling",5,1998-01-01,0t7LcUic4qolMCysPrKeAd,Garage Inc.,51,0.438,0.976,10,-2.757,0,0.0576,3.69e-4,0,0.194,0.791,178.03,147,FALSE,A#,minor,A# minor
Blitzkrieg,7,1998-01-01,0zZPCkSMAECtxBQHWJ0enW,Garage Inc.,38,0.493,0.97,4,-6.34,1,0.0581,8.02e-4,0.611,0.0661,0.645,98.736,217,FALSE,E,major,E major
